iter	Passed	Remaining
399	41369	26787
400	41474	26684
401	41575	26579
402	41676	26474
403	41774	26367
404	41872	26261
405	41973	26155
406	42072	26050
407	42172	25944
408	42274	25840
409	42378	25736
410	42485	25636
411	42593	25535
412	42697	25432
413	42800	25328
414	42905	25226
415	43007	25121
416	43111	25019
417	43211	24913
418	43312	24809
419	43416	24706
420	43520	24602
421	43625	24500
422	43726	24395
423	43826	24290
424	43930	24187
425	44032	24083
426	44137	23981
427	44239	23876
428	44344	23774
429	44447	23670
430	44550	23567
431	44652	23463
432	44755	23359
433	44856	23254
434	44962	23153
435	45064	23049
436	45167	22945
437	45268	22841
438	45371	22737
439	45476	22634
440	45582	22532
441	45685	22429
442	45789	22326
443	45891	22222
444	45995	22119
445	46099	22016
446	46199	21911
447	46301	21806
448	46404	21703
449	46506	21599
450	46612	21497
451	46713	21393
452	46814	21288
453	46914	21183
454	47013	21078
455	47115	20974
456	47216	20870
457	47320	20767
458	47423	20663
459	47527	20560
460	47629	20456
461	47731	20353
462	47832	20248
463	47933	20144
464	48034	20040
465	48132	19934
466	48235	19831
467	48334	19726
468	48434	19621
469	48538	19518
470	48641	19415
471	48745	19312
472	48844	19207
473	48947	19104
474	49048	18999
475	49151	18896
476	49255	18793
477	49365	18692
478	49467	18589
479	49568	18485
480	49672	18381
481	49775	18278
482	49876	18174
483	49977	18070
484	50079	17966
485	50181	17862
486	50282	17758
487	50383	17654
488	50485	17551
489	50589	17448
490	50689	17343
491	50792	17240
492	50893	17136
493	50996	17033
494	51097	16929
495	51195	16824
496	51296	16720
497	51397	16616
498	51503	16514
499	51606	16410
500	51710	16307
501	51813	16204
502	51916	16101
503	52022	15998
504	52125	15895
505	52228	15792
506	52334	15689
507	52436	15586
508	52540	15483
509	52645	15380
510	52747	15277
511	52845	15172
512	52950	15069
513	53053	14966
514	53157	14863
515	53258	14759
516	53356	14655
517	53456	14551
518	53558	14447
519	53660	14343
520	53765	14241
521	53869	14138
522	53969	14034
523	54073	13931
524	54173	13827
525	54276	13723
526	54378	13620
527	54482	13517
528	54584	13413
529	54687	13310
530	54787	13206
531	54886	13102
532	54990	12999
533	55094	12896
534	55198	12793
535	55302	12690
536	55409	12588
537	55513	12485
538	55625	12384
539	55728	12280
540	55830	12177
541	55933	12074
542	56037	11971
543	56138	11867
544	56241	11764
545	56342	11660
546	56449	11558
547	56551	11454
548	56656	11351
549	56756	11248
550	56860	11145
551	56960	11041
552	57059	10937
553	57163	10834
554	57265	10730
555	57369	10627
556	57476	10525
557	57581	10422
558	57684	10319
559	57788	10216
560	57892	10113
561	57995	10009
562	58098	9906
563	58202	9803
564	58306	9700
565	58408	9597
566	58509	9493
567	58614	9390
568	58716	9287
569	58819	9184
570	58921	9080
571	59023	8977
572	59126	8874
573	59227	8770
574	59328	8667
575	59430	8563
576	59531	8460
577	59632	8356
578	59733	8253
579	59830	8149
580	59933	8046
581	60036	7942
582	60138	7839
583	60238	7736
584	60340	7632
585	60441	7529
586	60540	7425
587	60643	7322
588	60742	7219
589	60845	7115
590	60946	7012
591	61050	6909
592	61153	6806
593	61256	6703
594	61357	6599
595	61460	6496
596	61561	6393
597	61662	6289
598	61763	6186
599	61864	6083
600	61964	5979
601	62069	5876
602	62170	5773
603	62271	5670
604	62373	5567
605	62474	5463
606	62576	5360
607	62683	5257
608	62787	5154
609	62890	5051
610	62997	4949
611	63103	4846
612	63206	4743
613	63310	4640
614	63414	4536
615	63518	4433
616	63622	4330
617	63727	4227
618	63832	4124
619	63934	4021
620	64037	3918
621	64142	3815
622	64245	3712
623	64347	3609
624	64447	3505
625	64547	3402
626	64650	3299
627	64752	3196
628	64855	3093
629	64958	2990
630	65060	2886
631	65163	2783
632	65265	2680
633	65368	2577
634	65474	2474
635	65573	2371
636	65673	2268
637	65775	2165
638	65879	2061
639	65982	1958
640	66084	1855
641	66184	1752
642	66285	1649
643	66389	1546
644	66490	1443
645	66595	1340
646	66696	1237
647	66799	1133
648	66903	1030
649	67007	927
650	67111	824
651	67217	721
652	67322	618
653	67427	515
654	67533	412
655	67638	309
656	67739	206
657	67840	103
658	67940	0
