iter	RMSE
466	2060249.754
467	2059395.809
468	2058559.791
469	2058030.013
470	2057087.685
471	2056389.475
472	2055628.05
473	2055047.384
474	2054281.918
475	2053577.431
476	2052644.955
477	2051790.94
478	2051085.482
479	2050514.767
480	2049917.1
481	2049058.493
482	2047774.278
483	2046946.818
484	2045968.65
485	2045356.285
486	2044801.518
487	2043701.562
488	2043060.575
489	2042450.513
490	2041588.55
491	2040728.465
492	2039891.895
493	2039079.499
494	2038462.875
495	2037825.691
496	2037169.175
497	2036583.97
498	2035976.642
499	2035418.481
500	2034977.749
501	2034181.118
502	2033227.929
503	2032339.562
504	2031534.539
505	2030882.137
506	2029908.815
507	2029315.679
508	2028803.973
509	2028384.592
510	2027877.036
511	2027340.25
512	2026841.696
513	2025865.119
514	2025281.848
515	2024654.804
516	2023843.077
517	2023258.054
518	2022494.437
519	2021851.511
520	2021131.216
521	2020242.858
522	2019146.103
523	2018393.987
524	2017905.164
525	2017388.708
526	2016840.13
527	2016331.889
528	2015623.505
529	2014699.077
530	2013788.209
531	2013226.558
532	2012545.559
533	2011735.574
534	2011124.6
535	2010581.983
536	2010022.276
537	2009459.874
538	2008261.729
539	2007778.855
540	2007122.457
541	2006740.431
542	2006279.616
543	2005889.815
544	2005136.299
545	2004616.753
546	2003868.145
547	2003562.227
548	2003207.618
549	2002505.62
550	2001431.178
551	2000487.169
552	1999238.113
553	1998604.151
554	1997743.115
555	1997326.281
556	1996595.72
557	1995613.587
558	1995050.949
559	1994453.087
560	1993662.085
561	1992913.43
562	1992259.932
563	1991839.8
564	1991338.573
565	1990493.359
566	1989726.376
567	1989008.428
568	1988351.065
569	1987834.856
570	1987443.397
571	1986537.883
572	1985846.714
573	1985354.451
574	1984891.63
575	1984368.871
576	1983635.528
577	1982955.772
578	1982354.889
579	1981660.281
580	1980804.044
581	1980040.782
582	1979308.426
583	1978511.648
584	1977774.179
585	1977011.502
586	1976481.14
587	1976141.943
588	1975509.218
589	1974638.32
590	1974205.985
591	1973742.491
592	1973056.477
593	1972439.21
594	1971368.267
595	1970724.359
596	1969996.77
597	1969382.4
598	1969091.965
599	1968442.84
600	1967428.454
601	1966513.535
602	1966102.204
603	1965327.528
604	1964457.093
605	1963879.508
606	1963313.737
607	1962971.475
608	1962354.525
609	1961625.514
610	1961187.205
611	1960508.104
612	1959754.724
613	1959260.259
614	1958776.983
615	1958309.145
616	1957701.884
617	1957336.326
618	1956735.441
619	1956310.753
620	1955504.323
621	1954916.111
622	1954501.644
623	1953667.841
624	1953335.634
625	1952754.444
626	1952209.13
627	1951730.309
628	1951245.221
629	1950699.726
630	1950339.504
631	1949736.638
632	1949029.071
633	1948442.166
634	1947709.696
635	1947023.938
636	1946624.42
637	1945818.031
638	1945225.643
639	1944619.725
640	1944181.994
641	1943550.725
642	1943273.177
643	1942518.365
644	1941964.946
645	1941360.277
646	1940829.683
647	1940354.074
648	1940015.649
649	1939292.275
650	1938912.764
651	1938577.315
652	1938070.916
653	1937340.016
654	1936426.269
655	1935917.46
656	1935112.665
657	1934653.564
658	1934054.071
